OID_;COD_SITO;COD_PRELIEVO;SITO;FOGLIO;PARTICELLA;COMUNE;MATRICE;ANALITA;VALORE;STATO_SUPERAMENTI;RISCHIO;NRIC;UNITA_M_MANGIMI;UNITA_M_VEGETALI
3347;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;1,2,3,7,8-P5CDF;0,006000000000000;0,000000000000000;4;201573977;pg/g; 
3348;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;1,2,3,7,8,9-H6CDF;0,001000000000000;0,000000000000000;4;201573977;pg/g; 
3349;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;WHO-PCDD/F+PCB-TEQ-MB;0,005000000000000;0,000000000000000;4;201573977;pg/g; 
3350;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;HXCB-157;0,430000000000000;0,000000000000000;4;201573977;pg/g; 
3351;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;HXCB-156;1,780000000000000;0,000000000000000;4;201573977;pg/g; 
3352;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;HPCB-189;0,400000000000000;0,000000000000000;4;201573977;pg/g; 
3353;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;HXCB-167;1,250000000000000;0,000000000000000;4;201573977;pg/g; 
3354;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;TECB-81;0,010000000000000;0,000000000000000;4;201573977;pg/g; 
3355;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;TECB-77;0,160000000000000;0,000000000000000;4;201573977;pg/g; 
3356;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;PECB-123;0,140000000000000;0,000000000000000;4;201573977;pg/g; 
3357;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;PECB-126;0,010000000000000;0,000000000000000;4;201573977;pg/g; 
3358;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;WHO-PCB-TEQ-LB;0,000300000000000;0,000000000000000;4;201573977;pg/g; 
3359;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;WHO-PCB-TEQ-MB;0,000700000000000;0,000000000000000;4;201573977;pg/g; 
3360;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;WHO-PCB-TEQ-UB;0,001100000000000;0,000000000000000;4;201573977;pg/g; 
3361;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;PECB-114;0,040000000000000;0,000000000000000;4;201573977;pg/g; 
3362;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;PECB-118;3,590000000000000;0,000000000000000;4;201573977;pg/g; 
3363;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;CRISENE;0,200000000000000;0,000000000000000;4;201573977;ug/kg; 
3364;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;BENZO (K) FLUORANTENE;0,200000000000000;0,000000000000000;4;201573977;ug/kg; 
3365;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;BENZO(B)FLUORANTENE;0,200000000000000;0,000000000000000;4;201573977;ug/kg; 
3366;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;DIBENZO (A,H) ANTRACENE;0,200000000000000;0,000000000000000;4;201573977;ug/kg; 
3367;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;BENZO (A) ANTRACENE;0,200000000000000;0,000000000000000;4;201573977;ug/kg; 
3368;ID45F4P211;ID45F4P211;45;4,000000000000000;211;ACERRA;PATATE;BENZO (A) PIRENE;0,200000000000000;0,000000000000000;4;201573977;ug/kg; 
3369;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;MERCURIO;0,000300000000000;0,000000000000000;4;201469355;mg/kg; 
3370;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;DIELDRIN;0,002000000000000;0,000000000000000;4;201469355;mg/kg; 
3371;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;ENDOSULFAN SOLFATO;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3372;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;ENDRIN;0,002000000000000;0,000000000000000;4;201469355;mg/kg; 
3373;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;EPTACLORO;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3374;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;EPTACLORO EPOSSIDO;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3375;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;EPTACLOROEPOSSIDO CIS;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3376;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;ESACLOROBENZENE;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3377;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;HCH - ALFA;0,002000000000000;0,000000000000000;4;201469355;mg/kg; 
3378;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;HCH - BETA;0,002000000000000;0,000000000000000;4;201469355;mg/kg; 
3379;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;HCH - GAMMA (LINDANO);0,002000000000000;0,000000000000000;4;201469355;mg/kg; 
3380;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;CROMO;0,002430000000000;0,000000000000000;4;201469355;mg/kg; 
3381;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;MANGANESE;1,240000000000000;0,000000000000000;4;201469355;mg/kg; 
3382;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;COBALTO;0,006050000000000;0,000000000000000;4;201469355;mg/kg; 
3383;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;MOLIBDENO;0,080500000000000;0,000000000000000;4;201469355;mg/kg; 
3384;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;NICHEL;0,140000000000000;0,000000000000000;4;201469355;mg/kg; 
3385;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;PIOMBO;0,060000000000000;0,000000000000000;4;201469355;mg/kg; 
3386;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;RAME;1,060000000000000;0,000000000000000;4;201469355;mg/kg; 
3387;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;SELENIO;0,009470000000000;0,000000000000000;4;201469355;mg/kg; 
3388;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;SOMMA DDT/44DDE/44DDD;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3389;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;SOMMA EPTACLORO/EP.EPOSSIDO;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3390;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;SOMMATORIA  HCH;0,002000000000000;0,000000000000000;4;201469355;mg/kg; 
3391;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;STAGNO;0,005870000000000;0,000000000000000;4;201469355;mg/kg; 
3392;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;STRONZIO;0,227000000000000;0,000000000000000;4;201469355;mg/kg; 
3393;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;TALLIO;0,003130000000000;0,000000000000000;4;201469355;mg/kg; 
3394;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;ISODRIN;0,002000000000000;0,000000000000000;4;201469355;mg/kg; 
3395;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;4,4 DDD;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3396;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;2,4 DDD;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3397;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;DELTA-HCH;0,002000000000000;0,000000000000000;4;201469355;mg/kg; 
3398;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;2,4 DDT;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3399;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;4,4 DDE;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3400;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;4,4 DDT;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3401;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;ALACLOR;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3402;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;ALDRIN;0,002000000000000;0,000000000000000;4;201469355;mg/kg; 
3403;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;ARSENICO;0,008350000000000;0,000000000000000;4;201469355;mg/kg; 
3404;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;BERILLIO;0,001420000000000;0,000000000000000;4;201469355;mg/kg; 
3405;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;CADMIO;0,010000000000000;0,000000000000000;4;201469355;mg/kg; 
3406;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;2,4 DDE;0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3407;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;ZINCO;2,220000000000000;0,000000000000000;4;201469355;mg/kg; 
3408;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;VANADIO;0,001210000000000;0,000000000000000;4;201469355;mg/kg; 
3409;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;URANIO;0,000425000000000;0,000000000000000;4;201469355;mg/kg; 
3410;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;TRANS - CLORDANO (ISOMERO GAMMA);0,001000000000000;0,000000000000000;4;201469355;mg/kg; 
3411;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;PCB NDL UB (UPPER BOUND);0,310000000000000;0,000000000000000;4;201469355;ng/g; 
3412;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;PCB-52;0,010000000000000;0,000000000000000;4;201469355;ng/g; 
3413;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;PCB-138;0,070000000000000;0,000000000000000;4;201469355;ng/g; 
3414;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;PCB-28;0,010000000000000;0,000000000000000;4;201469355;ng/g; 
3415;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;PCB-180;0,120000000000000;0,000000000000000;4;201469355;ng/g; 
3416;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;PCB-101;0,010000000000000;0,000000000000000;4;201469355;ng/g; 
3417;ID45F4P2A;ID45F4P2A;45;4,000000000000000;2A;ACERRA;PATATE;PCB-153;0,090000000000000;0,000000000000000;4;201469355;ng/g; 
3418;ID45F4P2C;ID45F4P2C;45;4,000000000000000;2C;ACERRA;PATATE;1,2,3,4,7,8-H6CDF;0,004000000000000;0,000000000000000;4;201469355;pg/g; 
3419;ID45F4P2C;ID45F4P2C;45;4,000000000000000;2C;ACERRA;PATATE;1,2,3,4,6,7,8-H7CDD;0,050000000000000;0,000000000000000;4;201469355;pg/g; 
3420;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;DIELDRIN;0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3421;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;ENDOSULFAN (ISOMERO ALFA);0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3422;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;ENDOSULFAN (ISOMERO BETA);0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3423;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;ENDOSULFAN SOLFATO;0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3424;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;ENDRIN;0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3425;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;SOMMA ALFA/BETA ENDOSULFAN;0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3426;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;EPTACLORO EPOSSIDO;0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3427;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;ESACLOROBENZENE;0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3428;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;HCH - ALFA;0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3429;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;HCH - BETA;0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3430;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;HCH - GAMMA (LINDANO);0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3431;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;ISODRIN;0,002000000000000;0,000000000000000;4;2015103809; ;mg/kg
3432;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;MANGANESE;1,530000000000000;0,000000000000000;4;2015103809; ;mg/kg
3433;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;MERCURIO;0,001500000000000;0,000000000000000;4;2015103809; ;mg/kg
3434;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;MOLIBDENO;0,104000000000000;0,000000000000000;4;2015103809; ;mg/kg
3435;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;NICHEL;0,057400000000000;0,000000000000000;4;2015103809; ;mg/kg
3436;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;PIOMBO;0,020000000000000;0,000000000000000;4;2015103809; ;mg/kg
3437;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;RAME;0,782000000000000;0,000000000000000;4;2015103809; ;mg/kg
3438;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;EPTACLORO;0,010000000000000;0,000000000000000;4;2015103809; ;mg/kg
3439;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;PCB-101;0,013000000000000;0,000000000000000;4;2015103809; ;ng/g
3440;ID45F4P168D;ID45F4P168D;45;4,000000000000000;168D;ACERRA;MAIS;PCB-138;0,010000000000000;0,000000000000000;4;2015103809; ;ng/g
3901;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;WHO-PCDD/F+PCB-TEQ-MB;0,003000000000000;0,000000000000000;3;201495221;pg/g; 
3902;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;PECB-123;0,020000000000000;0,000000000000000;3;201495221;pg/g; 
3903;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;PECB-114;0,070000000000000;0,000000000000000;3;201495221;pg/g; 
3904;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;PECB-105;0,910000000000000;0,000000000000000;3;201495221;pg/g; 
3905;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;O8CDF;0,002000000000000;0,000000000000000;3;201495221;pg/g; 
3906;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;O8CDD;0,002000000000000;0,000000000000000;3;201495221;pg/g; 
3907;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;HXCB-169;0,010000000000000;0,000000000000000;3;201495221;pg/g; 
3908;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;TECB-81;0,090000000000000;0,000000000000000;3;201495221;pg/g; 
3909;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;WHO-PCDD/F-TEQ-UB;0,005000000000000;0,000000000000000;3;201495221;pg/g; 
3910;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;WHO-PCDD/F-TEQ-MB;0,003000000000000;0,000000000000000;3;201495221;pg/g; 
3911;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;WHO-PCDD/F-TEQ-LB;0,001000000000000;0,000000000000000;3;201495221;pg/g; 
3912;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;WHO-PCDD/F+PCB-TEQ-UB;0,006000000000000;0,000000000000000;3;201495221;pg/g; 
3913;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;2,3,4,7,8-P5CDF;0,003000000000000;0,000000000000000;3;201495221;pg/g; 
3914;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;PECB-118;2,990000000000000;0,000000000000000;3;201495221;pg/g; 
3915;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;PECB-126;0,010000000000000;0,000000000000000;3;201495221;pg/g; 
3916;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;HXCB-157;0,070000000000000;0,000000000000000;3;201495221;pg/g; 
3917;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;2,3,4,6,7,8-H6CDF;0,001000000000000;0,000000000000000;3;201495221;pg/g; 
3918;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;1,2,3,6,7,8-H6CDD;0,002000000000000;0,000000000000000;3;201495221;pg/g; 
3919;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;1,2,3,7,8-P5CDF;0,001000000000000;0,000000000000000;3;201495221;pg/g; 
3920;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;1,2,3,7,8-P5CDD;0,001000000000000;0,000000000000000;3;201495221;pg/g; 
3921;ID48F12P93C;ID48F12P93C;48;12,000000000000000;93C;GIUGLIANO IN CAMPANIA;PATATE;1,2,3,7,8,9-H6CDF;0,001000000000000;0,000000000000000;3;201495221;pg/g; 
3922;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;SOMMA ALFA/BETA ENDOSULFAN;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3923;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;SOMMA ALDRIN/DIELDRIN;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3924;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;STAGNO;0,002900000000000;0,000000000000000;4;2015104481; ;mg/kg
3925;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;RAME;0,691000000000000;0,000000000000000;4;2015104481; ;mg/kg
3926;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;STRONZIO;0,343000000000000;0,000000000000000;4;2015104481; ;mg/kg
3927;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;NICHEL;0,043400000000000;0,000000000000000;4;2015104481; ;mg/kg
3928;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;MOLIBDENO;0,075800000000000;0,000000000000000;4;2015104481; ;mg/kg
3929;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;MERCURIO;0,001500000000000;0,000000000000000;4;2015104481; ;mg/kg
3930;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;MANGANESE;0,992000000000000;0,000000000000000;4;2015104481; ;mg/kg
3931;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;ISODRIN;0,002000000000000;0,000000000000000;4;2015104481; ;mg/kg
3932;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;HCH - GAMMA (LINDANO);0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3933;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;SELENIO;0,006140000000000;0,000000000000000;4;2015104481; ;mg/kg
3934;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;SOMMATORIA  HCH;0,002000000000000;0,000000000000000;4;2015104481; ;mg/kg
3935;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;ESACLOROBENZENE;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3936;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;ZINCO;5,650000000000000;0,000000000000000;4;2015104481; ;mg/kg
3937;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;VANADIO;0,000359000000000;0,000000000000000;4;2015104481; ;mg/kg
3938;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;URANIO;0,000460000000000;0,000000000000000;4;2015104481; ;mg/kg
3939;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;TRANS EPTACLORO EPOSSIDO;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3940;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;TRANS - CLORDANO (ISOMERO GAMMA);0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3941;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;TALLIO;0,000028000000000;0,000000000000000;4;2015104481; ;mg/kg
3942;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;ALACLOR;0,001000000000000;0,000000000000000;4;2015104481; ;mg/kg
3943;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;4,4 DDT;0,050000000000000;0,000000000000000;4;2015104481; ;mg/kg
3944;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;4,4 DDE;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3945;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;4,4 DDD;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3946;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;2,4 DDT;0,050000000000000;0,000000000000000;4;2015104481; ;mg/kg
3947;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;2,4 DDE;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3948;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;HCH - BETA;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3949;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;ARSENICO;0,004200000000000;0,000000000000000;4;2015104481; ;mg/kg
3950;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;2,4 DDD;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3951;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;DIELDRIN;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3952;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;EPTACLOROEPOSSIDO CIS;0,001000000000000;0,000000000000000;4;2015104481; ;mg/kg
3953;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;EPTACLORO EPOSSIDO;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3954;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;EPTACLORO;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3955;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;ENDRIN;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3956;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;ENDOSULFAN SOLFATO;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3957;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;ALDRIN;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3958;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;ENDOSULFAN (ISOMERO ALFA);0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3959;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;ANTIMONIO;0,000810000000000;0,000000000000000;4;2015104481; ;mg/kg
3960;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;DELTA-HCH;0,002000000000000;0,000000000000000;4;2015104481; ;mg/kg
3961;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;CROMO;0,011700000000000;0,000000000000000;4;2015104481; ;mg/kg
3962;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;COBALTO;0,000665000000000;0,000000000000000;4;2015104481; ;mg/kg
3963;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;CIS - CLORDANO (ISOMERO ALFA);0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3964;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;CADMIO;0,010000000000000;0,000000000000000;4;2015104481; ;mg/kg
3965;ID45F4P33M;ID45F4P33M;45;4,000000000000000;33M;ACERRA;MAIS;BERILLIO;0,000710000000000;0,000000000000000;4;2015104481; ;mg/kg
